0,G,0,0,F,8,9,6,4,B,D,5,0,0,3,0
6,C,0,0,0,0,4,E,2,7,0,0,0,0,5,9
0,0,0,D,0,0,G,7,F,E,0,0,6,0,0,0
0,0,4,3,A,0,0,0,0,0,0,6,1,B,0,0
7,0,0,5,8,F,0,0,0,0,B,E,9,0,0,G
8,0,0,0,9,0,0,4,D,0,0,3,0,0,0,2
C,1,3,0,0,0,6,0,0,G,0,0,0,F,4,5
9,D,B,0,0,G,0,0,0,0,F,0,0,7,A,6
G,B,A,0,0,2,0,0,0,0,7,0,0,5,6,D
5,6,F,0,0,0,A,0,0,2,0,0,0,8,7,4
D,0,0,0,6,0,0,9,5,0,0,G,0,0,0,F
3,0,0,C,B,5,0,0,0,0,A,4,G,0,0,1
0,0,9,6,G,0,0,0,0,0,0,7,2,C,0,0
0,0,0,G,0,0,B,D,C,5,0,0,F,0,0,0
4,3,0,0,0,0,8,2,G,F,0,0,0,0,1,7
0,8,0,0,5,9,E,A,1,3,2,D,0,0,G,0
